"filename", "language", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\forbidden_knowledge.lua", "Lua", 46, 0, 1, 7, 54
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\four_leaf_clover.lua", "Lua", 36, 0, 0, 8, 44
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\fruit_fly.lua", "Lua", 18, 0, 0, 2, 20
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\fruit_salad.lua", "Lua", 24, 0, 1, 4, 29
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\fuzzy_dice.lua", "Lua", 34, 0, 0, 6, 40
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\gangrene.lua", "Lua", 41, 0, 0, 5, 46
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\ghanta.lua", "Lua", 33, 0, 0, 10, 43
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\gold_battery.lua", "Lua", 58, 0, 0, 11, 69
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\gold_crown.lua", "Lua", 88, 0, 0, 17, 105
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\gold_stopwatch.lua", "Lua", 58, 0, 11, 12, 81
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\golden_tampon.lua", "Lua", 43, 0, 0, 6, 49
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\heart_arrest.lua", "Lua", 50, 0, 7, 8, 65
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\holy_chalice.lua", "Lua", 47, 0, 0, 9, 56
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\hush_cannon.lua", "Lua", 17, 0, 0, 2, 19
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\hysteria.lua", "Lua", 49, 0, 0, 8, 57
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\ladle.lua", "Lua", 41, 0, 0, 5, 46
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\larval_therapy.lua", "Lua", 31, 0, 4, 6, 41
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\late_delivery.lua", "Lua", 61, 0, 1, 13, 75
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\marshall_scarf.lua", "Lua", 33, 0, 0, 6, 39
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\maxs_head.lua", "Lua", 55, 0, 0, 9, 64
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\moms_wish.lua", "Lua", 52, 0, 0, 6, 58
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\morphine.lua", "Lua", 48, 0, 0, 10, 58
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\nirvana.lua", "Lua", 32, 0, 0, 6, 38
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\nosebleed.lua", "Lua", 38, 0, 0, 7, 45
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\opia.lua", "Lua", 147, 0, 3, 26, 176
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\pair_of_cans.lua", "Lua", 27, 0, 0, 5, 32
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\papal_cross.lua", "Lua", 45, 0, 0, 9, 54
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\papal_cross_holy.lua", "Lua", 43, 0, 0, 8, 51
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\portable_confessional.lua", "Lua", 38, 0, 0, 5, 43
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\prayer_mat.lua", "Lua", 57, 0, 0, 10, 67
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\purity_vessel_0.lua", "Lua", 11, 0, 0, 2, 13
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\purity_vessel_1.lua", "Lua", 15, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\purity_vessel_2.lua", "Lua", 15, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\purity_vessel_base.lua", "Lua", 40, 0, 1, 7, 48
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\quran.lua", "Lua", 35, 0, 0, 9, 44
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\radiance_orb.lua", "Lua", 93, 0, 0, 14, 107
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\reclusive_tendencies.lua", "Lua", 125, 0, 34, 36, 195
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\saint_book.lua", "Lua", 19, 0, 0, 2, 21
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\second_thought.lua", "Lua", 23, 0, 0, 4, 27
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\seraphim_horn.lua", "Lua", 22, 0, 0, 2, 24
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\sharing_caring.lua", "Lua", 43, 0, 2, 8, 53
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\soft_serve.lua", "Lua", 50, 0, 0, 11, 61
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\soul_food.lua", "Lua", 25, 0, 0, 8, 33
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\sugar.lua", "Lua", 53, 0, 0, 7, 60
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\taenia.lua", "Lua", 76, 0, 0, 18, 94
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\tampon.lua", "Lua", 49, 0, 0, 13, 62
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\tecpatl.lua", "Lua", 47, 0, 0, 8, 55
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\template_item_______.lua", "Lua", 46, 0, 0, 0, 46
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\tramp_of_babylon.lua", "Lua", 41, 0, 8, 7, 56
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\transformations\celeste.lua", "Lua", 87, 0, 1, 19, 107
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\transformations\cultist.lua", "Lua", 42, 0, 0, 7, 49
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\transformations\cyborg.lua", "Lua", 68, 0, 0, 9, 77
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\transformations\transform.lua", "Lua", 57, 0, 0, 9, 66
